종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000440","중앙에너비스","KOSDAQ","유통","17500","-360","-2.02","108974775000"
"051980","중앙첨단소재","KOSDAQ","일반전기전자","8300","-490","-5.57","829676324900"
"228760","지노믹트리","KOSDAQ","기타서비스","13080","-600","-4.39","318659315640"
"314130","지놈앤컴퍼니","KOSDAQ","제약","2875","-55","-1.88","89080014875"
"389030","지니너스","KOSDAQ","기타서비스","1332","-6","-0.45","44424657540"
"043610","지니뮤직","KOSDAQ","오락·문화","2165","-45","-2.04","125819923270"
"263860","지니언스","KOSDAQ","출판·매체복제","10190","-290","-2.77","92521124000"
"303030","지니틱스","KOSDAQ","일반전기전자","933","-28","-2.91","33350708244"
"036180","지더블유바이텍","KOSDAQ","유통","577","0","0.00","53929030348"
"208350","지란지교시큐리티","KOSDAQ","출판·매체복제","2950","-15","-0.51","26073719550"
"144510","지씨셀","KOSDAQ","기타서비스","25550","-700","-2.67","403698789200"
"358570","지아이이노베이션","KOSDAQ","기타서비스","11600","-520","-4.29","513935668400"
"382480","지아이텍","KOSDAQ","기계·장비","2100","-25","-1.18","82649994000"
"382800","지앤비에스 에코","KOSDAQ","기계·장비","2835","-55","-1.90","89674001235"
"051160","지어소프트","KOSDAQ","출판·매체복제","8550","-190","-2.17","132306376500"
"053050","지에스이","KOSDAQ","전기·가스·수도","3560","-20","-0.56","106755845320"
"119850","지엔씨에너지","KOSDAQ","일반전기전자","8800","170","1.97","144750399200"
"065060","지엔코","KOSDAQ","섬유·의류","258","-7","-2.64","27866075352"
"204840","지엘팜텍","KOSDAQ","유통","1005","-10","-0.99","77249532030"
"270520","지오릿에너지","KOSDAQ","기타서비스","1645","-9","-0.54","261210842970"
"311320","지오엘리먼트","KOSDAQ","일반전기전자","6390","-120","-1.84","80607038400"
"388050","지투파워","KOSDAQ","일반전기전자","8850","-250","-2.75","165578517450"
"018120","진로발효","KOSDAQ","음식료·담배","17020","-70","-0.41","112691462400"
"109820","진매트릭스","KOSDAQ","기타서비스","2695","-100","-3.58","54960859800"
"086060","진바이오텍","KOSDAQ","유통","3340","-75","-2.20","28759360580"
"036890","진성티이씨","KOSDAQ","기계·장비","9490","-170","-1.76","213356723320"
"363250","진시스템","KOSDAQ","의료·정밀기기","9840","-140","-1.40","68943871440"
"007370","진양제약","KOSDAQ","제약","5700","-180","-3.06","72111686100"
"285800","진영","KOSDAQ","화학","2365","-75","-3.07","41333743550"
